CustomerID,CustomerName,Email,Phone,City,Date
CUST2396,Customer_324,user0@example.com,+917799787351,Kolkata,2019-11-12
CUST9825,Customer_527,user1@example.com,+918116021594,Kolkata,2019-11-12
CUST1433,Customer_756,user2@example.com,+918490212532,Chennai,2019-11-12
CUST5372,Customer_910,user3@example.com,+919374719303,Bangalore,2019-11-12
CUST1262,Customer_960,user4@example.com,+919818756320,Bangalore,2019-11-12
CUST7560,Customer_445,user5@example.com,+919761725340,Bangalore,2019-11-12
CUST5150,Customer_445,user6@example.com,+917789141435,Bangalore,2019-11-12
CUST5133,Customer_725,user7@example.com,+917668938837,Delhi,2019-11-12
CUST4440,Customer_811,user8@example.com,+917676616502,Bangalore,2019-11-12
CUST7100,Customer_576,user9@example.com,+917754700369,Delhi,2019-11-12
CUST3806,Customer_162,user10@example.com,+918354146399,Mumbai,2019-11-12
CUST1436,Customer_789,user11@example.com,+919017915390,Mumbai,2019-11-12
CUST8794,Customer_950,user12@example.com,+917756967401,Bangalore,2019-11-12
CUST2950,Customer_924,user13@example.com,+919157025642,Chennai,2019-11-12
CUST3923,Customer_666,user14@example.com,+917899852695,Kolkata,2019-11-12
CUST9857,Customer_789,user15@example.com,+918287990928,Mumbai,2019-11-12
CUST1950,Customer_904,user16@example.com,+917299015182,Bangalore,2019-11-12
CUST3633,Customer_569,user17@example.com,+919400220121,Bangalore,2019-11-12
CUST6488,Customer_974,user18@example.com,+918079816423,Chennai,2019-11-12
CUST3110,Customer_922,user19@example.com,+919253581568,Kolkata,2019-11-12
