CustomerID,CustomerName,Email,Phone,City,Date
CUST9991,Customer_567,user0@example.com,+918427831355,Mumbai,2019-11-13
CUST3099,Customer_529,user1@example.com,+919068719023,Chennai,2019-11-13
CUST2460,Customer_170,user2@example.com,+917597299700,Delhi,2019-11-13
CUST6591,Customer_894,user3@example.com,+919751730914,Delhi,2019-11-13
CUST7957,Customer_316,user4@example.com,+917722321484,Mumbai,2019-11-13
CUST9821,Customer_548,user5@example.com,+919219293437,Mumbai,2019-11-13
CUST3058,Customer_954,user6@example.com,+918204470635,Kolkata,2019-11-13
CUST6519,Customer_308,user7@example.com,+918634799937,Delhi,2019-11-13
CUST2217,Customer_290,user8@example.com,+917642846466,Delhi,2019-11-13
CUST4588,Customer_920,user9@example.com,+919886001046,Chennai,2019-11-13
CUST4143,Customer_189,user10@example.com,+919939962134,Bangalore,2019-11-13
CUST9046,Customer_530,user11@example.com,+917192381996,Kolkata,2019-11-13
CUST2596,Customer_614,user12@example.com,+918844620117,Bangalore,2019-11-13
CUST9584,Customer_703,user13@example.com,+918077561250,Delhi,2019-11-13
CUST7372,Customer_120,user14@example.com,+919565371020,Kolkata,2019-11-13
CUST4078,Customer_785,user15@example.com,+917791118220,Delhi,2019-11-13
CUST5266,Customer_808,user16@example.com,+919265491760,Delhi,2019-11-13
CUST1856,Customer_661,user17@example.com,+919893623972,Delhi,2019-11-13
CUST5540,Customer_105,user18@example.com,+918278404509,Chennai,2019-11-13
CUST1211,Customer_658,user19@example.com,+919574928856,Chennai,2019-11-13
