CustomerID,CustomerName,Email,Phone,City,Date
CUST2776,Customer_696,user0@example.com,+918015157574,Chennai,2019-11-14
CUST3893,Customer_301,user1@example.com,+917373732685,Delhi,2019-11-14
CUST8884,Customer_876,user2@example.com,+917459146617,Bangalore,2019-11-14
CUST1107,Customer_184,user3@example.com,+917271809165,Kolkata,2019-11-14
CUST4654,Customer_740,user4@example.com,+919930027450,Chennai,2019-11-14
CUST4473,Customer_738,user5@example.com,+918874618313,Bangalore,2019-11-14
CUST3208,Customer_641,user6@example.com,+918392522978,Kolkata,2019-11-14
CUST1447,Customer_999,user7@example.com,+919093949702,Chennai,2019-11-14
CUST5786,Customer_627,user8@example.com,+918238495659,Kolkata,2019-11-14
CUST4534,Customer_713,user9@example.com,+918896437430,Delhi,2019-11-14
CUST5716,Customer_482,user10@example.com,+918018108639,Chennai,2019-11-14
CUST2524,Customer_975,user11@example.com,+919771451251,Mumbai,2019-11-14
CUST7766,Customer_501,user12@example.com,+917811915877,Mumbai,2019-11-14
CUST2029,Customer_369,user13@example.com,+918932290893,Bangalore,2019-11-14
CUST5837,Customer_263,user14@example.com,+918035727727,Mumbai,2019-11-14
CUST7048,Customer_383,user15@example.com,+917150665902,Mumbai,2019-11-14
CUST8812,Customer_559,user16@example.com,+919299432672,Delhi,2019-11-14
CUST5497,Customer_843,user17@example.com,+918089912735,Mumbai,2019-11-14
CUST3071,Customer_224,user18@example.com,+917611972612,Bangalore,2019-11-14
CUST4566,Customer_902,user19@example.com,+918058533507,Bangalore,2019-11-14
