MasterID,ChildID,MasterName,ChildName,Relation,Date,DateKey
M859,C3258,Master_51,Child_54,Guardian,2019-11-12,20191112
M916,C7436,Master_12,Child_63,Sibling,2019-11-12,20191112
M226,C8904,Master_83,Child_26,Parent,2019-11-12,20191112
M196,C1866,Master_40,Child_99,Parent,2019-11-12,20191112
M170,C1906,Master_6,Child_26,Parent,2019-11-12,20191112
M572,C2619,Master_75,Child_53,Parent,2019-11-12,20191112
M527,C5536,Master_10,Child_66,Guardian,2019-11-12,20191112
M631,C9855,Master_40,Child_35,Parent,2019-11-12,20191112
M201,C8574,Master_67,Child_49,Sibling,2019-11-12,20191112
M409,C4410,Master_56,Child_61,Sibling,2019-11-12,20191112
M302,C8459,Master_66,Child_92,Guardian,2019-11-12,20191112
M553,C2591,Master_16,Child_59,Sibling,2019-11-12,20191112
M459,C4118,Master_28,Child_55,Sibling,2019-11-12,20191112
M833,C9980,Master_45,Child_86,Parent,2019-11-12,20191112
M326,C3531,Master_22,Child_39,Sibling,2019-11-12,20191112
M461,C6836,Master_96,Child_13,Guardian,2019-11-12,20191112
M101,C9663,Master_91,Child_47,Parent,2019-11-12,20191112
M593,C6470,Master_76,Child_96,Parent,2019-11-12,20191112
M834,C4049,Master_57,Child_29,Guardian,2019-11-12,20191112
M905,C8334,Master_67,Child_23,Guardian,2019-11-12,20191112
